District Pcode,District Name,Township Pcode,Township Name,Total households,Radio,Television,Land line phone,Mobile phone,Computer,Internet at home
MMR014D001,Taunggyi,MMR014001,Taunggyi,82604,30176,62388,6736,48461,6705,9746
MMR014D001,Taunggyi,MMR014002,Nyaungshwe,42634,13801,23640,810,14973,669,1604
MMR014D001,Taunggyi,MMR014003,Hopong,24728,5083,11272,799,5192,358,631
MMR014D001,Taunggyi,MMR014004,Hsihseng,32771,8087,16568,1042,4755,325,580
MMR014D001,Taunggyi,MMR014005,Kalaw,41341,11607,25285,1739,16900,1225,1741
MMR014D001,Taunggyi,MMR014006,Pindaya,17544,7324,8862,348,2849,226,136
MMR014D001,Taunggyi,MMR014007,Ywangan,18348,8890,4781,219,2207,81,152
MMR014D001,Taunggyi,MMR014008,Lawksawk,25957,10048,16353,818,8321,565,556
MMR014D001,Taunggyi,MMR014009,Pinlaung,25504,5908,13816,728,6363,351,737
MMR014D001,Taunggyi,MMR014010,Pekon,20084,6399,10762,800,4315,381,316
MMR014D002,Loilen,MMR014011,Loilen,10901,1558,6024,236,2758,349,676
MMR014D002,Loilen,MMR014012,Laihka,8790,1348,5191,576,2298,244,165
MMR014D002,Loilen,MMR014013,Nansang,18863,3848,11048,709,5935,578,763
MMR014D002,Loilen,MMR014014,Kunhing,4570,738,2162,334,1556,119,260
MMR014D002,Loilen,MMR014015,Kyethi,8901,2391,3980,199,798,114,34
MMR014D002,Loilen,MMR014016,Mongkaing,16332,2560,1895,98,829,137,28
MMR014D002,Loilen,MMR014017,Monghsu,9201,2171,4278,107,2126,114,354
MMR014D003,Langkho,MMR014018,Langkho,8388,1908,4925,624,3388,271,437
MMR014D003,Langkho,MMR014019,Mongnai,6224,1136,3211,32,1665,176,237
MMR014D003,Langkho,MMR014020,Mawkmai,7194,701,1687,20,262,56,10
MMR014D003,Langkho,MMR014021,Mongpan,5421,1240,2804,117,2373,252,180
MMR015D001,Lashio,MMR015001,Lashio,64932,15307,44205,4330,30118,3910,6087
MMR015D001,Lashio,MMR015002,Hseni,11779,3031,7407,528,5087,232,524
MMR015D001,Lashio,MMR015003,Mongyai,13328,2245,4855,271,1801,125,189
MMR015D001,Lashio,MMR015004,Tangyan,35142,7867,15929,794,3698,424,471
MMR015D002,Muse,MMR015009,Muse,22214,3907,18716,3100,15837,2028,2020
MMR015D002,Muse,MMR015010,Namhkan,21417,2891,13997,1966,12775,646,539
MMR015D002,Muse,MMR015011,Kutkai,19031,4543,9021,1197,5036,401,630
MMR015D003,Kyaukme,MMR015012,Kyaukme,28371,5985,17056,1123,10568,878,936
MMR015D003,Kyaukme,MMR015013,Nawnghkio,32224,11257,17657,1239,10409,508,1216
MMR015D003,Kyaukme,MMR015014,Hsipaw,37906,7510,18038,1225,10200,553,592
MMR015D003,Kyaukme,MMR015015,Namtu,11641,2794,7341,410,1223,232,56
MMR015D003,Kyaukme,MMR015016,Namhsan,13685,3159,5344,316,1338,123,23
MMR015D003,Kyaukme,MMR015017,Mongmit,13652,3907,7565,482,3559,166,321
MMR015D003,Kyaukme,MMR015018,Mabein,8632,3880,6117,628,3389,142,165
MMR015D003,Kyaukme,MMR015019,Manton,7683,1493,1447,62,421,28,8
MMR015D004,Kunlong,MMR015020,Kunlong,10392,1267,6129,1886,2469,216,93
MMR015D005,Laukkaing,MMR015022,Laukkaing,14231,758,11079,1912,10200,506,377
MMR015D005,Laukkaing,MMR015023,Konkyan,5462,115,1568,925,1730,59,53
MMR015D006,Hopang,MMR015021,Hopang,10031,1280,5586,820,4892,246,229
MMR015D006,Hopang,MMR015008,Mongmao,10445,1254,5355,893,4439,118,73
MMR015D006,Hopang,MMR015007,Pangwaun,13969,1065,5123,405,7238,84,58
MMR015D007,Matman,MMR015024,Matman,3318,810,728,28,150,20,15
MMR015D007,Matman,MMR015005,Pangsang,16142,1573,7915,1010,7116,814,883
MMR015D007,Matman,MMR015006,Narphan,16474,1240,3461,695,5029,54,38
MMR016D001,Kengtung,MMR016001,Kengtung,34096,9121,21746,2155,16616,1621,2581
MMR016D001,Kengtung,MMR016002,Mongkhet,8025,637,2515,233,920,55,26
MMR016D001,Kengtung,MMR016003,Mongyang,10119,726,5761,1153,4746,130,47
MMR016D001,Kengtung,MMR016005,Mongla,5208,428,3506,453,2891,326,590
MMR016D002,Monghsat,MMR016006,Monghsat,15909,1713,7320,549,3015,363,324
MMR016D002,Monghsat,MMR016007,Mongping,10605,1717,3509,261,2023,123,145
MMR016D002,Monghsat,MMR016008,Mongton,4258,824,1654,107,1237,93,206
MMR016D003,Tachileik,MMR016009,Tachileik,31179,11329,23678,1863,22930,2881,2569
MMR016D004,Monghpyak,MMR016010,Monghpyak,6165,2497,3103,262,2354,155,299
MMR016D004,Monghpyak,MMR016011,Mongyawng,6329,1760,4679,772,2051,97,83
